symbol,vol_regime,shock_side,shock_level,shock_quantile,threshold_pct,horizon_bars,horizon_hours,count,vol20_mean_pct,current_return_mean_pct,future_return_mean_pct,future_return_median_pct,future_return_std_pct,future_return_t_stat,mr_return_mean_pct,mr_return_median_pct,mr_return_std_pct,mr_return_t_stat,mr_win_rate_pct
BTCUSDT,Q5_high,upper,2_5pct,0.0250000000,2.5953806458,6,24,208,2.3211004646,4.0613768315,0.1468437516,0.1100406914,4.6869389313,0.4518537011,-0.1468437516,-0.1100406914,4.6869389313,-0.4518537011,48.0769230769
BTCUSDT,Q5_high,upper,2_5pct,0.0250000000,2.5953806458,12,48,208,2.3211004646,4.0613768315,0.0346914890,0.1148068209,5.6396543512,0.0887160344,-0.0346914890,-0.1148068209,5.6396543512,-0.0887160344,49.5192307692
BTCUSDT,Q5_high,upper,2_5pct,0.0250000000,2.5953806458,18,72,208,2.3211004646,4.0613768315,0.4471881267,0.5151971340,6.6585247815,0.9685987653,-0.4471881267,-0.5151971340,6.6585247815,-0.9685987653,47.5961538462
BTCUSDT,Q1_low,lower,2_5pct,0.0250000000,-2.6062629474,1,4,0,,,,,,,,,,,
BTCUSDT,Q1_low,lower,2_5pct,0.0250000000,-2.6062629474,2,8,0,,,,,,,,,,,
BTCUSDT,Q1_low,lower,2_5pct,0.0250000000,-2.6062629474,3,12,0,,,,,,,,,,,
BTCUSDT,Q1_low,lower,2_5pct,0.0250000000,-2.6062629474,6,24,0,,,,,,,,,,,
BTCUSDT,Q1_low,lower,2_5pct,0.0250000000,-2.6062629474,12,48,0,,,,,,,,,,,
BTCUSDT,Q1_low,lower,2_5pct,0.0250000000,-2.6062629474,18,72,0,,,,,,,,,,,
BTCUSDT,Q2_lower,lower,2_5pct,0.0250000000,-2.6062629474,1,4,2,0.7914698545,-2.9354131308,-1.1878872103,-1.1878872103,0.3428036602,-4.9005492016,-1.1878872103,-1.1878872103,0.3428036602,-4.9005492016,0.0000000000
BTCUSDT,Q2_lower,lower,2_5pct,0.0250000000,-2.6062629474,2,8,2,0.7914698545,-2.9354131308,-0.8111259543,-0.8111259543,0.3139589850,-3.6536789200,-0.8111259543,-0.8111259543,0.3139589850,-3.6536789200,0.0000000000
BTCUSDT,Q2_lower,lower,2_5pct,0.0250000000,-2.6062629474,3,12,2,0.7914698545,-2.9354131308,-0.7879867875,-0.7879867875,0.3101858675,-3.5926253211,-0.7879867875,-0.7879867875,0.3101858675,-3.5926253211,0.0000000000
BTCUSDT,Q2_lower,lower,2_5pct,0.0250000000,-2.6062629474,6,24,2,0.7914698545,-2.9354131308,-0.2768882544,-0.2768882544,0.8012156101,-0.4887312724,-0.2768882544,-0.2768882544,0.8012156101,-0.4887312724,50.0000000000
BTCUSDT,Q2_lower,lower,2_5pct,0.0250000000,-2.6062629474,12,48,2,0.7914698545,-2.9354131308,-0.2251493527,-0.2251493527,2.2472069485,-0.1416911194,-0.2251493527,-0.2251493527,2.2472069485,-0.1416911194,50.0000000000
BTCUSDT,Q2_lower,lower,2_5pct,0.0250000000,-2.6062629474,18,72,2,0.7914698545,-2.9354131308,0.0053660186,0.0053660186,3.9561098175,0.0019182218,0.0053660186,0.0053660186,3.9561098175,0.0019182218,50.0000000000
BTCUSDT,Q3_mid,lower,2_5pct,0.0250000000,-2.6062629474,1,4,41,0.9761124682,-3.0212473510,-0.3785820698,-0.0339738273,1.7737551787,-1.3666531075,-0.3785820698,-0.0339738273,1.7737551787,-1.3666531075,48.7804878049
BTCUSDT,Q3_mid,lower,2_5pct,0.0250000000,-2.6062629474,2,8,41,0.9761124682,-3.0212473510,-0.3561272281,-0.1474870229,2.1555112308,-1.0579053605,-0.3561272281,-0.1474870229,2.1555112308,-1.0579053605,41.4634146341
BTCUSDT,Q3_mid,lower,2_5pct,0.0250000000,-2.6062629474,3,12,41,0.9761124682,-3.0212473510,-0.5714489838,-0.0880043091,2.7743327850,-1.3188968744,-0.5714489838,-0.0880043091,2.7743327850,-1.3188968744,48.7804878049
BTCUSDT,Q3_mid,lower,2_5pct,0.0250000000,-2.6062629474,6,24,41,0.9761124682,-3.0212473510,-0.5065077185,0.1786562939,3.0361571195,-1.0682029030,-0.5065077185,0.1786562939,3.0361571195,-1.0682029030,51.2195121951
BTCUSDT,Q3_mid,lower,2_5pct,0.0250000000,-2.6062629474,12,48,41,0.9761124682,-3.0212473510,-0.7552482537,0.4051392344,5.1664303842,-0.9360328194,-0.7552482537,0.4051392344,5.1664303842,-0.9360328194,58.5365853659
BTCUSDT,Q3_mid,lower,2_5pct,0.0250000000,-2.6062629474,18,72,41,0.9761124682,-3.0212473510,-0.8073337062,-0.2109200182,6.4381089947,-0.8029466457,-0.8073337062,-0.2109200182,6.4381089947,-0.8029466457,48.7804878049
BTCUSDT,Q4_higher,lower,2_5pct,0.0250000000,-2.6062629474,1,4,73,1.2793628181,-3.4026599718,-0.1168152282,0.1697015725,1.7645947575,-0.5656084733,-0.1168152282,0.1697015725,1.7645947575,-0.5656084733,54.7945205479
BTCUSDT,Q4_higher,lower,2_5pct,0.0250000000,-2.6062629474,2,8,73,1.2793628181,-3.4026599718,-0.0943574073,0.0823061796,2.6807941442,-0.3007280671,-0.0943574073,0.0823061796,2.6807941442,-0.3007280671,52.0547945205
BTCUSDT,Q4_higher,lower,2_5pct,0.0250000000,-2.6062629474,3,12,73,1.2793628181,-3.4026599718,-0.3064218617,0.0388446318,3.5970157218,-0.7278448960,-0.3064218617,0.0388446318,3.5970157218,-0.7278448960,50.6849315068
BTCUSDT,Q4_higher,lower,2_5pct,0.0250000000,-2.6062629474,6,24,73,1.2793628181,-3.4026599718,-0.1255614180,0.1885263346,3.8817578846,-0.2763689178,-0.1255614180,0.1885263346,3.8817578846,-0.2763689178,53.4246575342
BTCUSDT,Q4_higher,lower,2_5pct,0.0250000000,-2.6062629474,12,48,73,1.2793628181,-3.4026599718,0.3468654754,0.5636372144,4.8801273356,0.6072833181,0.3468654754,0.5636372144,4.8801273356,0.6072833181,56.1643835616
