timeframe,period,entry_time,exit_time,direction,entry_price,exit_price,gross_pnl_pips,cost_pips,net_pnl_pips,holding_bars,short_window,long_window,entry_delay_bars,exit_reason
60m,full_2023_2025,2024-01-02 17:00:00,2024-01-08 22:00:00,long,141.891,144.223,233.2000000000022,1.0,232.2000000000022,101,20,80,0,signal_flip
60m,full_2023_2025,2024-01-08 22:00:00,2024-01-10 07:00:00,short,144.223,145.065,-84.19999999999845,1.0,-85.19999999999845,33,20,80,0,signal_flip
60m,full_2023_2025,2024-01-10 07:00:00,2024-01-12 17:00:00,long,145.065,144.854,-21.09999999999843,1.0,-22.09999999999843,58,20,80,0,signal_flip
60m,full_2023_2025,2024-01-12 17:00:00,2024-01-15 16:00:00,short,144.854,145.79,-93.59999999999786,1.0,-94.59999999999786,23,20,80,0,signal_flip
60m,full_2023_2025,2024-01-15 16:00:00,2024-01-22 12:00:00,long,145.79,147.887,209.70000000000084,1.0,208.70000000000084,116,20,80,0,signal_flip
60m,full_2023_2025,2024-01-22 12:00:00,2024-01-24 01:00:00,short,147.887,148.112,-22.49999999999943,1.0,-23.49999999999943,37,20,80,0,signal_flip
60m,full_2023_2025,2024-01-24 01:00:00,2024-01-24 13:00:00,long,148.112,147.294,-81.79999999999836,1.0,-82.79999999999836,12,20,80,0,signal_flip
60m,full_2023_2025,2024-01-24 13:00:00,2024-01-26 19:00:00,short,147.294,148.135,-84.09999999999798,1.0,-85.09999999999798,54,20,80,0,signal_flip
60m,full_2023_2025,2024-01-26 19:00:00,2024-01-30 01:00:00,long,148.135,147.298,-83.69999999999891,1.0,-84.69999999999891,30,20,80,0,signal_flip
60m,full_2023_2025,2024-01-30 01:00:00,2024-02-02 20:00:00,short,147.298,148.328,-103.00000000000011,1.0,-104.00000000000011,91,20,80,0,signal_flip
60m,full_2023_2025,2024-02-02 20:00:00,2024-02-07 08:00:00,long,148.328,147.819,-50.900000000001455,1.0,-51.900000000001455,60,20,80,0,signal_flip
60m,full_2023_2025,2024-02-07 08:00:00,2024-02-08 11:00:00,short,147.819,149.1,-128.1000000000006,1.0,-129.1000000000006,27,20,80,0,signal_flip
60m,full_2023_2025,2024-02-08 11:00:00,2024-02-15 20:00:00,long,149.1,149.954,85.40000000000134,1.0,84.40000000000134,129,20,80,0,signal_flip
60m,full_2023_2025,2024-02-15 20:00:00,2024-02-20 05:00:00,short,149.954,150.333,-37.89999999999907,1.0,-38.89999999999907,57,20,80,0,signal_flip
60m,full_2023_2025,2024-02-20 05:00:00,2024-02-20 23:00:00,long,150.333,149.936,-39.699999999999136,1.0,-40.699999999999136,18,20,80,0,signal_flip
60m,full_2023_2025,2024-02-20 23:00:00,2024-02-21 22:00:00,short,149.936,150.295,-35.899999999998045,1.0,-36.899999999998045,23,20,80,0,signal_flip
60m,full_2023_2025,2024-02-21 22:00:00,2024-02-27 14:00:00,long,150.295,150.272,-2.2999999999996135,1.0,-3.2999999999996135,88,20,80,0,signal_flip
60m,full_2023_2025,2024-02-27 14:00:00,2024-02-28 10:00:00,short,150.272,150.743,-47.100000000000364,1.0,-48.100000000000364,20,20,80,0,signal_flip
60m,full_2023_2025,2024-02-28 10:00:00,2024-02-29 06:00:00,long,150.743,149.903,-84.00000000000034,1.0,-85.00000000000034,20,20,80,0,signal_flip
60m,full_2023_2025,2024-02-29 06:00:00,2024-03-01 16:00:00,short,149.903,150.122,-21.90000000000225,1.0,-22.90000000000225,34,20,80,0,signal_flip
60m,full_2023_2025,2024-03-01 16:00:00,2024-03-04 02:00:00,long,150.122,150.126,0.39999999999906777,1.0,-0.6000000000009322,10,20,80,0,signal_flip
60m,full_2023_2025,2024-03-04 02:00:00,2024-03-04 17:00:00,short,150.126,150.449,-32.30000000000075,1.0,-33.30000000000075,15,20,80,0,signal_flip
60m,full_2023_2025,2024-03-04 17:00:00,2024-03-05 22:00:00,long,150.449,150.033,-41.600000000002524,1.0,-42.600000000002524,29,20,80,0,signal_flip
60m,full_2023_2025,2024-03-05 22:00:00,2024-03-12 17:00:00,short,150.033,147.701,233.19999999999936,1.0,232.19999999999936,116,20,80,0,signal_flip
60m,full_2023_2025,2024-03-12 17:00:00,2024-03-25 06:00:00,long,147.701,151.216,351.5000000000015,1.0,350.5000000000015,205,20,80,0,signal_flip
60m,full_2023_2025,2024-03-25 06:00:00,2024-03-25 20:00:00,short,151.216,151.444,-22.799999999998022,1.0,-23.799999999998022,14,20,80,0,signal_flip
60m,full_2023_2025,2024-03-25 20:00:00,2024-03-26 12:00:00,long,151.444,151.388,-5.599999999998317,1.0,-6.599999999998317,16,20,80,0,signal_flip
60m,full_2023_2025,2024-03-26 12:00:00,2024-03-26 23:00:00,short,151.388,151.527,-13.899999999998158,1.0,-14.899999999998158,11,20,80,0,signal_flip
60m,full_2023_2025,2024-03-26 23:00:00,2024-03-28 01:00:00,long,151.527,151.414,-11.299999999999955,1.0,-12.299999999999955,26,20,80,0,signal_flip
60m,full_2023_2025,2024-03-28 01:00:00,2024-04-01 14:00:00,short,151.414,151.576,-16.200000000000614,1.0,-17.200000000000614,61,20,80,0,signal_flip
60m,full_2023_2025,2024-04-01 14:00:00,2024-04-04 19:00:00,long,151.576,151.201,-37.5,1.0,-38.5,77,20,80,0,signal_flip
60m,full_2023_2025,2024-04-04 19:00:00,2024-04-08 03:00:00,short,151.201,151.77,-56.90000000000168,1.0,-57.90000000000168,32,20,80,0,signal_flip
60m,full_2023_2025,2024-04-08 03:00:00,2024-04-18 09:00:00,long,151.77,154.354,258.4000000000003,1.0,257.4000000000003,198,20,80,0,signal_flip
60m,full_2023_2025,2024-04-18 09:00:00,2024-04-18 23:00:00,short,154.354,154.642,-28.79999999999825,1.0,-29.79999999999825,14,20,80,0,signal_flip
60m,full_2023_2025,2024-04-18 23:00:00,2024-04-19 10:00:00,long,154.642,154.485,-15.699999999998226,1.0,-16.699999999998226,11,20,80,0,signal_flip
60m,full_2023_2025,2024-04-19 10:00:00,2024-04-21 23:00:00,short,154.485,154.629,-14.399999999997704,1.0,-15.399999999997704,13,20,80,0,signal_flip
60m,full_2023_2025,2024-04-21 23:00:00,2024-04-30 00:00:00,long,154.629,156.325,169.5999999999998,1.0,168.5999999999998,145,20,80,0,signal_flip
60m,full_2023_2025,2024-04-30 00:00:00,2024-04-30 06:00:00,short,156.325,156.828,-50.30000000000143,1.0,-51.30000000000143,6,20,80,0,signal_flip
60m,full_2023_2025,2024-04-30 06:00:00,2024-05-02 01:00:00,long,156.828,156.015,-81.30000000000166,1.0,-82.30000000000166,43,20,80,0,signal_flip
60m,full_2023_2025,2024-05-02 01:00:00,2024-05-07 04:00:00,short,156.015,154.551,146.39999999999986,1.0,145.39999999999986,75,20,80,0,signal_flip
60m,full_2023_2025,2024-05-07 04:00:00,2024-05-15 16:00:00,long,154.551,155.024,47.30000000000132,1.0,46.30000000000132,156,20,80,0,signal_flip
60m,full_2023_2025,2024-05-15 16:00:00,2024-05-17 12:00:00,short,155.024,155.853,-82.90000000000077,1.0,-83.90000000000077,44,20,80,0,signal_flip
60m,full_2023_2025,2024-05-17 12:00:00,2024-05-27 17:00:00,long,155.853,156.897,104.39999999999827,1.0,103.39999999999827,149,20,80,0,signal_flip
60m,full_2023_2025,2024-05-27 17:00:00,2024-05-28 23:00:00,short,156.897,157.214,-31.700000000000728,1.0,-32.70000000000073,30,20,80,0,signal_flip
60m,full_2023_2025,2024-05-28 23:00:00,2024-05-30 17:00:00,long,157.214,156.696,-51.80000000000007,1.0,-52.80000000000007,42,20,80,0,signal_flip
60m,full_2023_2025,2024-05-30 17:00:00,2024-06-03 01:00:00,short,156.696,157.087,-39.09999999999911,1.0,-40.09999999999911,32,20,80,0,signal_flip
60m,full_2023_2025,2024-06-03 01:00:00,2024-06-03 15:00:00,long,157.087,156.197,-88.99999999999864,1.0,-89.99999999999864,14,20,80,0,signal_flip
60m,full_2023_2025,2024-06-03 15:00:00,2024-06-06 09:00:00,short,156.197,156.16,3.700000000000614,1.0,2.700000000000614,66,20,80,0,signal_flip
60m,full_2023_2025,2024-06-06 09:00:00,2024-06-07 10:00:00,long,156.16,155.481,-67.9000000000002,1.0,-68.9000000000002,25,20,80,0,signal_flip
60m,full_2023_2025,2024-06-07 10:00:00,2024-06-07 13:00:00,short,155.481,156.777,-129.59999999999923,1.0,-130.59999999999923,3,20,80,0,signal_flip
60m,full_2023_2025,2024-06-07 13:00:00,2024-06-12 17:00:00,long,156.777,155.799,-97.79999999999802,1.0,-98.79999999999802,76,20,80,0,signal_flip
60m,full_2023_2025,2024-06-12 17:00:00,2024-06-13 17:00:00,short,155.799,156.847,-104.80000000000018,1.0,-105.80000000000018,24,20,80,0,signal_flip
60m,full_2023_2025,2024-06-13 17:00:00,2024-07-04 10:00:00,long,156.847,161.252,440.5000000000001,1.0,439.5000000000001,353,20,80,0,signal_flip
60m,full_2023_2025,2024-07-04 10:00:00,2024-07-09 13:00:00,short,161.252,161.129,12.300000000001887,1.0,11.300000000001887,75,20,80,0,signal_flip
60m,full_2023_2025,2024-07-09 13:00:00,2024-07-11 15:00:00,long,161.129,158.554,-257.49999999999886,1.0,-258.49999999999886,50,20,80,0,signal_flip
60m,full_2023_2025,2024-07-11 15:00:00,2024-07-16 18:00:00,short,158.554,158.472,8.199999999999363,1.0,7.199999999999363,75,20,80,0,signal_flip
