event_def,horizon,risk_env,period,group,n,mean_ret_pct,median_ret_pct,win_rate_pct,profit_factor,t_stat,mean_mae_pct,worst_mae_pct,mean_mfe_pct,best_mfe_pct,maxdd_pct
rolling_2sigma,24h,nasdaq_5d_up,2023_plus,funding_low_x_risk_on,9,0.6836626344268681,0.7260050846045356,66.66666666666666,2.3630951895740573,0.9050449199696909,-1.4371636266999062,-4.037484630176246,2.279329902047235,5.442578403566576,-3.4704901515850706
rolling_2sigma,24h,nasdaq_5d_up,2023_plus,funding_high_x_risk_off,22,-0.3207345990924436,-0.7793481301481353,40.909090909090914,0.8004939245268942,-0.4185996129228557,-4.3850782683909895,-12.257577792119946,2.557068915568627,6.898808550413792,-19.249752615281402
rolling_2sigma,24h,nasdaq_5d_up,post_btc_etf,all_funding_covered_crashes,91,0.4050635645655716,0.28981994350858675,52.74725274725275,1.403971072248585,1.192736073965877,-3.0677412423294337,-16.987413450951745,2.649489429701732,16.15690254573776,-23.46088384307431
rolling_2sigma,24h,nasdaq_5d_up,post_btc_etf,funding_low_x_risk_on,8,0.8011161348952075,0.8163847143629943,75.0,2.5051502889834594,0.9468165433875642,-1.471258157546134,-4.037484630176246,2.486060901864282,5.442578403566576,-3.4704901515850706
rolling_2sigma,24h,nasdaq_5d_up,post_btc_etf,funding_high_x_risk_off,15,-0.6582862374990973,-0.7972547095768451,33.33333333333333,0.6059273743607096,-0.79140324480945,-4.582435381930269,-11.103966775930456,2.359561150384627,6.561772776716013,-10.117268868886564
rolling_2sigma,24h,broad_3of4_5d_up,all,all_funding_covered_crashes,201,0.3408696084495801,0.28981994350858675,53.233830845771145,1.2599635032580474,1.1900395102548516,-3.7265774962948734,-36.61731954434463,3.0510185665911282,16.15690254573776,-30.823393023738564
rolling_2sigma,24h,broad_3of4_5d_up,all,funding_low_x_risk_on,14,1.8173142572796237,1.168611007334897,71.42857142857143,5.148002908072107,2.004610105794626,-2.721166284863305,-9.425650229529623,4.4462911072042,14.586244152905872,-2.984958113982661
rolling_2sigma,24h,broad_3of4_5d_up,all,funding_high_x_risk_off,30,0.23360620172138258,0.26833654030886767,53.333333333333336,1.1902766647515701,0.38451723434503704,-3.8491747210539606,-12.257577792119946,2.766180966215729,6.898808550413792,-9.397810414459729
rolling_2sigma,24h,broad_3of4_5d_up,2020_plus,all_funding_covered_crashes,201,0.3408696084495801,0.28981994350858675,53.233830845771145,1.2599635032580474,1.1900395102548516,-3.7265774962948734,-36.61731954434463,3.0510185665911282,16.15690254573776,-30.823393023738564
rolling_2sigma,24h,broad_3of4_5d_up,2020_plus,funding_low_x_risk_on,14,1.8173142572796237,1.168611007334897,71.42857142857143,5.148002908072107,2.004610105794626,-2.721166284863305,-9.425650229529623,4.4462911072042,14.586244152905872,-2.984958113982661
rolling_2sigma,24h,broad_3of4_5d_up,2020_plus,funding_high_x_risk_off,30,0.23360620172138258,0.26833654030886767,53.333333333333336,1.1902766647515701,0.38451723434503704,-3.8491747210539606,-12.257577792119946,2.766180966215729,6.898808550413792,-9.397810414459729
rolling_2sigma,24h,broad_3of4_5d_up,2021_plus,all_funding_covered_crashes,193,0.32505349971044173,0.2683422860320181,52.331606217616574,1.2444297175797914,1.1019225023285715,-3.76022879820036,-36.61731954434463,3.053469849855555,16.15690254573776,-30.8233930237386
rolling_2sigma,24h,broad_3of4_5d_up,2021_plus,funding_low_x_risk_on,14,1.8173142572796237,1.168611007334897,71.42857142857143,5.148002908072107,2.004610105794626,-2.721166284863305,-9.425650229529623,4.4462911072042,14.586244152905872,-2.984958113982661
rolling_2sigma,24h,broad_3of4_5d_up,2021_plus,funding_high_x_risk_off,27,0.20836275811730146,0.24911872743674937,51.85185185185185,1.1616302713737017,0.3128617469943804,-4.010917874863104,-12.257577792119946,2.7980610860514097,6.898808550413792,-9.39781041445974
rolling_2sigma,24h,broad_3of4_5d_up,2022_rate_hike,all_funding_covered_crashes,33,-0.6521005735318531,-0.17352808724850854,48.484848484848484,0.7212892132033916,-0.686660129304853,-5.121497572537727,-20.25185698185711,3.408388831896034,12.712233819312827,-25.855070414509353
rolling_2sigma,24h,broad_3of4_5d_up,2022_rate_hike,funding_low_x_risk_on,4,0.333333132532203,-0.7374424713150383,50.0,1.2863639584130333,0.17119517959411512,-3.135930858452446,-5.9460107683525445,3.720756081731974,10.59305729548261,-1.6125191966570918
rolling_2sigma,24h,broad_3of4_5d_up,2022_rate_hike,funding_high_x_risk_off,0,,,,,,,,,,
rolling_2sigma,24h,broad_3of4_5d_up,2023_plus,all_funding_covered_crashes,128,0.40532059573332735,0.25873050673438375,52.34375,1.4228929612693757,1.4647448299842358,-2.8432836413300864,-16.987413450951745,2.541288662448529,16.15690254573776,-23.46088384307431
rolling_2sigma,24h,broad_3of4_5d_up,2023_plus,funding_low_x_risk_on,8,1.5169539619592507,1.168611007334897,75.0,9.213215478826335,2.1505351386839733,-1.4086153527621037,-4.028193299101428,3.139356509980988,5.442578403566576,-1.4667112077532019
rolling_2sigma,24h,broad_3of4_5d_up,2023_plus,funding_high_x_risk_off,24,0.11866310932237861,0.046849986962636384,50.0,1.0850531516472388,0.16049113770631437,-3.976223540097535,-12.257577792119946,2.7205444967182015,6.898808550413792,-9.397810414459729
