full_sample_rank,strategy_id,short_ma,long_ma,sl_atr,tp_atr,full_sample_sharpe,full_sample_cum_return,full_sample_max_drawdown,bar_profit_factor,trade_count,win_rate,trade_profit_factor,avg_trade_return,median_trade_return
43,ma_s20_l200_sl_atr1_0_tp_none,20,200,1.0,none,0.024750233738732752,-0.011559694041637592,-0.19063088711938247,1.0010126314976384,1282,0.1684867394695788,1.0087580172090995,1.0852198123823115e-05,-0.0011739807806797073
44,ma_s5_l200_sl_none_tp_none,5,200,none,none,0.01807376662937211,-0.0164389195653194,-0.1898143935896367,1.0007550578844573,584,0.22945205479452055,1.0071743761789809,1.7889028191592674e-05,-0.001788711114437318
45,ma_s20_l100_sl_none_tp_atr2_0,20,100,none,2.0,0.010368223693499884,-0.01975485900455798,-0.23202963471880722,1.0004278407928142,1613,0.7110973341599504,1.001715115582804,3.6303237048793902e-06,0.0019530839080370605
46,ma_s20_l200_sl_none_tp_none,20,200,none,none,0.0031875936622962064,-0.024863294140043846,-0.16836115609716396,1.000133109288006,342,0.2807017543859649,1.0014460761781778,5.3872433761033555e-06,-0.002743011291766772
47,ma_s5_l150_sl_none_tp_none,5,150,none,none,-0.009871763134795921,-0.0322004473429548,-0.22396690326614155,0.9995878740008033,686,0.23323615160349853,0.9964353924256163,-8.317916140287612e-06,-0.0015891759279132887
48,ma_s20_l100_sl_none_tp_atr1_5,20,100,none,1.5,-0.013614189549338136,-0.03244256598231765,-0.22295951323096752,0.9994413848024831,2064,0.7737403100775194,0.9978413677393245,-3.692655542550154e-06,0.0015968655591471774
49,ma_s5_l150_sl_atr1_0_tp_none,5,150,1.0,none,-0.0207955715610299,-0.03657883640900905,-0.18119752181750293,0.9991498713653708,1510,0.1880794701986755,0.9933529795126228,-7.745478966063579e-06,-0.001116530371358193
50,ma_s20_l200_sl_atr1_5_tp_none,20,200,1.5,none,-0.03176799292523138,-0.04286146473265828,-0.1993389082647582,0.9986982434902163,939,0.20234291799787008,0.9885802916961899,-1.9129990023317015e-05,-0.0015379645560709735
51,ma_s10_l150_sl_none_tp_atr1_5,10,150,none,1.5,-0.03713090388091843,-0.04534064355280654,-0.244571041109239,0.9984729882247266,2054,0.7599805258033107,0.9940585711277724,-1.0156918985886713e-05,0.0015686078944203523
52,ma_s30_l100_sl_atr1_0_tp_none,30,100,1.0,none,-0.04979285531988964,-0.05166107475383819,-0.2403260744786393,0.9979775587801466,1626,0.18696186961869618,0.9860366129959589,-1.7107560148224307e-05,-0.001146167827413785
53,ma_s20_l150_sl_none_tp_atr2_0,20,150,none,2.0,-0.07062021055628871,-0.0632816701510589,-0.22816731428204018,0.9971009321018969,1412,0.7287535410764873,0.9874129353354779,-2.814843372112822e-05,0.0020405438543608123
54,ma_s10_l150_sl_none_tp_atr2_0,10,150,none,2.0,-0.07370960206946912,-0.06473032388700928,-0.22828863034355162,0.9969776548702176,1602,0.6935081148564295,0.9878070824560012,-2.5841881029776622e-05,0.0019363046760542102
55,ma_s30_l150_sl_none_tp_atr2_0,30,150,none,2.0,-0.14417945195316723,-0.10170624055420274,-0.25975664009623034,0.9940773791898185,1333,0.7419354838709677,0.9733773740855919,-6.109801591737894e-05,0.00209020826666091
56,ma_s20_l150_sl_none_tp_atr1_5,20,150,none,1.5,-0.1563165198650841,-0.10675229559847665,-0.25033218250707956,0.9936083489421308,1808,0.7876106194690266,0.9729662074238286,-4.84097304177647e-05,0.0016189527829456134
57,ma_s30_l200_sl_atr1_5_tp_none,30,200,1.5,none,-0.1584646899083635,-0.10877148667929659,-0.23544556882778656,0.9935304830848317,952,0.21638655462184875,0.9453178953688218,-9.39257356082778e-05,-0.0016382465356869413
58,ma_s5_l50_sl_none_tp_atr2_0,5,50,none,2.0,-0.15868827679058478,-0.10830827733660775,-0.2439301067154187,0.9934827906759021,2885,0.5746967071057192,0.9814469256842451,-3.089075144871619e-05,0.0014763335429622956
59,ma_s30_l200_sl_atr1_0_tp_none,30,200,1.0,none,-0.1613570827838754,-0.10965111746391709,-0.2370779326735567,0.9934255601022255,1331,0.16829451540195342,0.9461510148233815,-6.809748749314798e-05,-0.0012036455040646858
60,ma_s10_l200_sl_none_tp_atr2_0,10,200,none,2.0,-0.16885250369832008,-0.11460014774953031,-0.23317218727967937,0.9930456385003366,1465,0.6969283276450512,0.9702623825627639,-6.533721244579097e-05,0.0019868059507267056
61,ma_s30_l100_sl_none_tp_atr2_0,30,100,none,2.0,-0.17557113071328537,-0.11735798052247703,-0.27615510970094215,0.9927913619971452,1511,0.728656518861681,0.970660364379751,-6.556657672233917e-05,0.002009937546270762
62,ma_s10_l100_sl_none_tp_atr2_0,10,100,none,2.0,-0.17823645675132122,-0.11922505802213024,-0.28236483647514976,0.9926476655022992,1869,0.6666666666666666,0.973209993301299,-5.403119305887644e-05,0.0018265288109904339
63,ma_s30_l200_sl_none_tp_none,30,200,none,none,-0.17961268212179013,-0.12264624711914618,-0.24028900671045095,0.9925283295564159,308,0.32142857142857145,0.9216502952508377,-0.0003370831913180208,-0.003235815013786556
64,ma_s5_l100_sl_none_tp_atr2_0,5,100,none,2.0,-0.1813214499892344,-0.12032653208318866,-0.2526749239036954,0.9925382729477548,2162,0.6253469010175763,0.9747425767808078,-4.736434018674657e-05,0.0016932081067690197
65,ma_s30_l50_sl_none_tp_atr2_0,30,50,none,2.0,-0.1828770755068233,-0.11918068226895395,-0.20988676650079618,0.9925597429055423,2110,0.647867298578199,0.97400686282979,-4.825865446727817e-05,0.0017129361333830505
66,ma_s30_l50_sl_none_tp_atr1_5,30,50,none,1.5,-0.18318321051348263,-0.11876747819948219,-0.2182011434440455,0.9925580929541565,2649,0.715364288410721,0.9749985423332613,-3.834251132478631e-05,0.0014170070221403823
67,ma_s5_l50_sl_none_tp_atr1_5,5,50,none,1.5,-0.18325592120800463,-0.1190960365850614,-0.2586619625416373,0.9925207235103514,3535,0.6509193776520509,0.9798559827048459,-2.880545874124721e-05,0.0013051253977734633
68,ma_s10_l100_sl_none_tp_atr1_5,10,100,none,1.5,-0.18959433383866076,-0.12415570853633051,-0.29202248233408523,0.9922034238516575,2367,0.7367976341360372,0.9726996582482735,-4.514710127281231e-05,0.001511815931014773
69,ma_s5_l100_sl_none_tp_atr1_5,5,100,none,1.5,-0.21398783122943976,-0.13566539817694845,-0.27062268391730626,0.9912184093431956,2689,0.6980290070658237,0.971498381897654,-4.4718072026447734e-05,0.001427637702534792
70,ma_s30_l150_sl_none_tp_atr1_5,30,150,none,1.5,-0.2352417131088958,-0.14584423194646445,-0.2647428255330244,0.9903776165766024,1699,0.7975279576221307,0.9577267741165424,-7.776369855623207e-05,0.0016318954504525233
71,ma_s30_l100_sl_none_tp_atr1_5,30,100,none,1.5,-0.24204244556997898,-0.1488313850484475,-0.2953613494325802,0.9901100922542201,1927,0.7861961598339388,0.9607679852136092,-7.042469680084534e-05,0.0016097560227070584
72,ma_s20_l200_sl_none_tp_atr2_0,20,200,none,2.0,-0.27431572593965065,-0.1656551140181306,-0.23561049428114356,0.9887392677148968,1276,0.7335423197492164,0.9486476691758502,-0.0001216364887049997,0.0021214498535919663
73,ma_s5_l200_sl_none_tp_atr2_0,5,200,none,2.0,-0.2802708017831446,-0.1690182469962359,-0.2510291867986183,0.9884494383868491,1688,0.6617298578199052,0.9546170600727083,-9.424530169869202e-05,0.0018390005031378109
74,ma_s10_l200_sl_none_tp_atr1_5,10,200,none,1.5,-0.29287080307820046,-0.17343067336521745,-0.26916413387699933,0.9880004210726263,1870,0.7631016042780748,0.950757008375802,-8.815007157385713e-05,0.0015968655591471774
75,ma_s5_l150_sl_none_tp_atr2_0,5,150,none,2.0,-0.3021700465091661,-0.17770339104160204,-0.29371419009302446,0.9876446087950409,1887,0.6422893481717011,0.9555860890158132,-9.010845726362781e-05,0.0018035811430571114
76,ma_s5_l150_sl_none_tp_atr1_5,5,150,none,1.5,-0.31504394252259194,-0.1829407618898743,-0.3013588230978893,0.9871294388867268,2372,0.7154300168634065,0.9553750574681769,-7.44585528504792e-05,0.0015098089773028234
77,ma_s5_l200_sl_none_tp_atr1_5,5,200,none,1.5,-0.3408817021921128,-0.19581136260649157,-0.2708385394259559,0.9860184997630425,2124,0.7311676082862524,0.9468483427697522,-9.04905470804677e-05,0.0015123163273622355
78,ma_s20_l200_sl_none_tp_atr1_5,20,200,none,1.5,-0.35895051270969996,-0.20390791964215116,-0.26049463705204434,0.9853101103539295,1640,0.7926829268292683,0.9345792914297266,-0.00012337358953056068,0.0016353259308759301
79,ma_s30_l200_sl_none_tp_atr2_0,30,200,none,2.0,-0.39141689701177884,-0.2195525243013463,-0.29245552712401046,0.9839627777866142,1206,0.7495854063018242,0.9250818580415715,-0.00018398706138328253,0.002164466355417653
80,ma_s30_l200_sl_none_tp_atr1_5,30,200,none,1.5,-0.5069961285944845,-0.2679548957099437,-0.32657028267805455,0.9793024991654349,1539,0.8031189083820662,0.9055231912026346,-0.00018592613183314994,0.0016644664298316807
81,ma_s10_l50_sl_atr1_5_tp_atr2_0,10,50,1.5,2.0,-0.5454134032827677,-0.26118558502730227,-0.33845871030340025,0.9792231651446308,5226,0.4324531190202832,0.9559843883250276,-5.3813828928207475e-05,-0.0009220706119526498
82,ma_s20_l50_sl_atr1_5_tp_atr2_0,20,50,1.5,2.0,-0.6001603313268193,-0.2802457503248802,-0.31416386584397027,0.9772603494684727,5166,0.44076655052264807,0.952324135766152,-5.954737819338385e-05,-0.0010354619633108529
83,ma_s10_l150_sl_atr1_5_tp_atr2_0,10,150,1.5,2.0,-0.6958248474225951,-0.3163869581476062,-0.38250946771767214,0.9736232711818572,4839,0.4283942963422195,0.9434538168645566,-7.41623984294366e-05,-0.0011559233192394234
84,ma_s5_l100_sl_atr1_5_tp_atr2_0,5,100,1.5,2.0,-0.7056693149623994,-0.3189822490109335,-0.38833698557746854,0.9732791635540754,5044,0.42724028548770815,0.9436013373590214,-7.192893043051801e-05,-0.0010779758204847371
