symbol,oi_timestamp,oi_time_ms,open_interest_contracts,open_interest_value_usdt,cmc_circulating_supply
ETHUSDT,2026-05-20 04:00:00,1779249600000,2220922.8199999998,4687501913.1202001572,120685699.9092532843
ETHUSDT,2026-05-20 08:00:00,1779264000000,2208820.2760000001,4702114515.3460397720,120685699.9092532843
ETHUSDT,2026-05-20 12:00:00,1779278400000,2237761.6159999999,4760909365.7627830505,120685699.9092532843
ETHUSDT,2026-05-20 16:00:00,1779292800000,2223241.2999999998,4748730565.7608165741,120685699.9092532843
ETHUSDT,2026-05-20 20:00:00,1779307200000,2213040.2400000002,4731856249.9608001709,120685699.9092532843
ETHUSDT,2026-05-21 00:00:00,1779321600000,2205998.5310000000,4695666413.1012897491,120685699.9092532843
ETHUSDT,2026-05-21 04:00:00,1779336000000,2204615.7439999999,4728393709.2588796616,120685660.6105114222
ETHUSDT,2026-05-21 08:00:00,1779350400000,2201525.8100000001,4698309015.0765533447,120685660.6105114222
ETHUSDT,2026-05-21 12:00:00,1779364800000,2229145.6390000000,4712866224.6073484421,120685660.6105114222
ETHUSDT,2026-05-21 16:00:00,1779379200000,2234673.2059999998,4763227290.8914833069,120685660.6105114222
ETHUSDT,2026-05-21 20:00:00,1779393600000,2201601.7810000000,4715280614.4567508698,120685660.6105114222
ETHUSDT,2026-05-22 00:00:00,1779408000000,2196166.7470000000,4684204054.6763000488,120685660.6105114222
ETHUSDT,2026-05-22 04:00:00,1779422400000,2208233.5329999998,4718707989.6617107391,120685618.4990976751
ETHUSDT,2026-05-22 08:00:00,1779436800000,2208676.9860000000,4698973320.8970270157,120685618.4990976751
ETHUSDT,2026-05-22 12:00:00,1779451200000,2228475.3300000001,4746075558.8671236038,120685618.4990976751
ETHUSDT,2026-05-22 16:00:00,1779465600000,2239850.4730000002,4745145625.5552301407,120685618.4990976751
ETHUSDT,2026-05-22 20:00:00,1779480000000,2256636.6630000002,4659232585.3628396988,120685618.4990976751
ETHUSDT,2026-05-23 00:00:00,1779494400000,2245119.8429999999,4635913566.8459634781,120685618.4990976751
ETHUSDT,2026-05-23 04:00:00,1779508800000,2263581.0219999999,4685341085.8173599243,120685588.4733882397
ETHUSDT,2026-05-23 08:00:00,1779523200000,2215547.2009999999,4492002250.5560283661,120685588.4733882397
ETHUSDT,2026-05-23 12:00:00,1779537600000,2257376.2500000000,4583335881.5215139389,120685588.4733882397
ETHUSDT,2026-05-23 16:00:00,1779552000000,2212025.0170000000,4555580745.3697490692,120685588.4733882397
ETHUSDT,2026-05-23 20:00:00,1779566400000,2183139.8679999998,4533311767.3006801605,120685588.4733882397
ETHUSDT,2026-05-24 00:00:00,1779580800000,2148238.9509999999,4547177387.5817003250,120685588.4733882397
ETHUSDT,2026-05-24 04:00:00,1779595200000,2143928.5469999998,4543059661.8230371475,120685562.3800564855
ETHUSDT,2026-05-24 08:00:00,1779609600000,2156660.3440000000,4572637527.7625598907,120685562.3800564855
ETHUSDT,2026-05-24 12:00:00,1779624000000,2181402.8849999998,4635633828.8269500732,120685562.3800564855
ETHUSDT,2026-05-24 16:00:00,1779638400000,2155259.1690000002,4515526590.1552801132,120685562.3800564855
ETHUSDT,2026-05-24 20:00:00,1779652800000,2155671.0109999999,4526628885.8685693741,120685562.3800564855
ETHUSDT,2026-05-25 00:00:00,1779667200000,2120907.7500000000,4451170304.0024995804,120685562.3800564855
ETHUSDT,2026-05-25 04:00:00,1779681600000,2130242.1239999998,4462160672.5135059357,120685539.9707651436
ETHUSDT,2026-05-25 08:00:00,1779696000000,2150387.8659999999,4548457406.4058799744,120685539.9707651436
ETHUSDT,2026-05-25 12:00:00,1779710400000,2165835.5789999999,4578460071.9894704819,120685539.9707651436
ETHUSDT,2026-05-25 16:00:00,1779724800000,2169515.4770000000,4612389904.1020002365,120685539.9707651436
ETHUSDT,2026-05-25 20:00:00,1779739200000,2161085.6839999999,4583350682.7711391449,120685539.9707651436
ETHUSDT,2026-05-26 00:00:00,1779753600000,2133557.6060000001,4505612732.7324113846,120685539.9707651436
ETHUSDT,2026-05-26 04:00:00,1779768000000,2143982.4320000000,4486240359.3113603592,120685518.3533083647
ETHUSDT,2026-05-26 08:00:00,1779782400000,2157726.6770000001,4519339506.8814554214,120685518.3533083647
ETHUSDT,2026-05-26 12:00:00,1779796800000,2137411.8900000001,4531394743.2712163925,120685518.3533083647
ETHUSDT,2026-05-26 16:00:00,1779811200000,2165722.6830000002,4518329689.4999036789,120685518.3533083647
ETHUSDT,2026-05-26 20:00:00,1779825600000,2219594.7480000001,4601774811.2910003662,120685518.3533083647
ETHUSDT,2026-05-27 00:00:00,1779840000000,2230590.0030000000,4623566958.2184000015,120685518.3533083647
ETHUSDT,2026-05-27 04:00:00,1779854400000,2253830.9890000001,4663020836.8371391296,120685488.8295893073
ETHUSDT,2026-05-27 08:00:00,1779868800000,2254384.4870000002,4695597628.1504640579,120685488.8295893073
ETHUSDT,2026-05-27 12:00:00,1779883200000,2246308.9550000001,4670840062.4897003174,120685488.8295893073
ETHUSDT,2026-05-27 16:00:00,1779897600000,2284720.1839999999,4731358487.4400796890,120685488.8295893073
ETHUSDT,2026-05-27 20:00:00,1779912000000,2288548.0630000001,4707200083.3815507889,120685488.8295893073
ETHUSDT,2026-05-28 00:00:00,1779926400000,2291713.1179999998,4638354335.7749557495,120685488.8295893073
ETHUSDT,2026-05-28 04:00:00,1779940800000,2331848.9169999999,4619034359.0471525192,120685456.1796863824
ETHUSDT,2026-05-28 08:00:00,1779955200000,2375839.1519999998,4738195214.2245950699,120685456.1796863824
ETHUSDT,2026-05-28 12:00:00,1779969600000,2358399.5740000000,4690550270.4305438995,120685456.1796863824
ETHUSDT,2026-05-28 16:00:00,1779984000000,2349312.1299999999,4674950915.4956951141,120685456.1796863824
ETHUSDT,2026-05-28 20:00:00,1779998400000,2290199.0049999999,4611590520.4481000900,120685456.1796863824
ETHUSDT,2026-05-29 00:00:00,1780012800000,2276484.9739999999,4573608437.2522096634,120685456.1796863824
ETHUSDT,2026-05-29 04:00:00,1780027200000,2291353.9679999999,4587405211.6344003677,120685415.2818607390
ETHUSDT,2026-05-29 08:00:00,1780041600000,2311954.2859999998,4639212598.2018508911,120685415.2818607390
ETHUSDT,2026-05-29 12:00:00,1780056000000,2310584.8730000001,4636368361.3404169083,120685415.2818607390
SOLUSDT,2026-04-30 16:00:00,1777564800000,9552274.3599999994,795797908.9597238302,576088839.0297857523
SOLUSDT,2026-04-30 20:00:00,1777579200000,9604203.2200000007,797825704.4656071663,576088839.0297857523
SOLUSDT,2026-05-01 00:00:00,1777593600000,9646841.7100000009,801117508.8179380894,576088839.0297857523
SOLUSDT,2026-05-01 04:00:00,1777608000000,9525534.7899999991,798811347.4894000292,576089155.7909201384
SOLUSDT,2026-05-01 08:00:00,1777622400000,9601061.6999999993,805630934.1015539169,576089155.7909201384
SOLUSDT,2026-05-01 12:00:00,1777636800000,9524976.9600000009,799907565.1008000374,576089155.7909201384
SOLUSDT,2026-05-01 16:00:00,1777651200000,9616410.6899999995,811936007.0485430956,576089155.7909201384
SOLUSDT,2026-05-01 20:00:00,1777665600000,9600530.6699999999,805165232.3161734343,576089155.7909201384
SOLUSDT,2026-05-02 00:00:00,1777680000000,9566469.2599999998,800809141.7546000481,576089155.7909201384
SOLUSDT,2026-05-02 04:00:00,1777694400000,9534982.1699999999,798731718.6646388769,576208303.9079574347
SOLUSDT,2026-05-02 08:00:00,1777708800000,9555096.0199999996,799495473.6965076923,576208303.9079574347
SOLUSDT,2026-05-02 12:00:00,1777723200000,9521396.8499999996,796441247.7204072475,576208303.9079574347
SOLUSDT,2026-05-02 16:00:00,1777737600000,9524794.1199999992,800082706.0800000429,576208303.9079574347
SOLUSDT,2026-05-02 20:00:00,1777752000000,9467837.9399999995,797002597.7891999483,576208303.9079574347
SOLUSDT,2026-05-03 00:00:00,1777766400000,9431736.0999999996,794435131.7029999495,576208303.9079574347
SOLUSDT,2026-05-03 04:00:00,1777780800000,9476860.9700000007,792499810.5046358109,576207645.9270905256
SOLUSDT,2026-05-03 08:00:00,1777795200000,9440498.1899999995,791302621.4427329302,576207645.9270905256
SOLUSDT,2026-05-03 12:00:00,1777809600000,9409422.1199999992,789544610.0892000198,576207645.9270905256
SOLUSDT,2026-05-03 16:00:00,1777824000000,9429455.3499999996,793205784.0420000553,576207645.9270905256
SOLUSDT,2026-05-03 20:00:00,1777838400000,9404018.6400000006,793134932.0975999832,576207645.9270905256
SOLUSDT,2026-05-04 00:00:00,1777852800000,9363280.2500000000,785275180.2428222895,576207645.9270905256
SOLUSDT,2026-05-04 04:00:00,1777867200000,9459179.3100000005,807624729.4878000021,576326776.7107053995
SOLUSDT,2026-05-04 08:00:00,1777881600000,9987565.7899999991,847294174.2017631531,576326776.7107053995
